GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSG00000249790	13.853279151248909	1.1586599984418493	0.12897286027429586	8.98375050361482	2.61690741924118e-19	4.1922856856243705e-16	TRUE
ENSG00000174130	14.096801592518766	0.3804430257128079	0.058070549898322985	6.551393544213617	5.700261681317678e-11	4.56590960673546e-8	TRUE
ENSG00000222328	18.370624035165392	0.8167306893861719	0.13663819231729346	5.977323583801564	2.2683335734758007e-9	1.2112901282360775e-6	TRUE
ENSG00000135486	41.872824131972074	-0.37891618921273035	0.06506278838173128	-5.823854135939933	5.750577091496306e-9	2.1560226654485325e-6	TRUE
ENSG00000242616	15.49270251179724	0.3333330411479209	0.05749552244078642	5.797547826288811	6.729159380301288e-9	2.1560226654485325e-6	TRUE
ENSG00000143226	51.889448458633275	0.2644123029413326	0.046687571030269125	5.663440978111824	1.4836721854107875e-8	3.961404735046803e-6	TRUE
ENSG00000184009	44.698366668251424	-0.2377904854030837	0.04542420833213011	-5.234884528188602	1.650880396280631e-7	3.77815770691653e-5	TRUE
ENSG00000196419	17.34092119618312	-0.24938075092300394	0.05033402009279714	-4.954516854867522	7.251023145733161e-7	1.4520173849330657e-4	TRUE
ENSG00000198814	17.945621829520626	0.30526282916563047	0.06260926120253081	4.875681701116943	1.0843333298028316e-6	1.9301133270490403e-4	TRUE
ENSG00000140379	18.005579207006882	0.3567605457010814	0.07551158108360774	4.724580528992896	2.30590827910567e-6	3.6940650631272836e-4	TRUE
ENSG00000026103	13.49642431678292	0.2757054507279928	0.05906391634130069	4.667916856966097	3.0426897344086713e-6	3.749529965017455e-4	TRUE
ENSG00000151726	67.65220179592545	0.2591674757546699	0.05518831618814095	4.696056949285231	2.6523162203568977e-6	3.749529965017455e-4	TRUE
ENSG00000198712	16.16167806983669	-0.265247101697899	0.05680971615664109	-4.669044657194462	3.02603602377222e-6	3.749529965017455e-4	TRUE
ENSG00000134333	16.019304916251123	-0.2496511789550339	0.05461939844763637	-4.570742008342961	4.860003060453811e-6	5.561232073462147e-4	TRUE
ENSG00000087253	17.52820043650232	0.2986908866725729	0.06580444672925737	4.5390684295469	5.6503298763641245e-6	6.034552307956885e-4	TRUE
ENSG00000166913	31.91151583019018	-0.1657831184436844	0.03673470318504816	-4.512983747508863	6.392192216739569e-6	6.400182457010494e-4	TRUE
ENSG00000091527	31.013624648643503	-0.16722294044854397	0.0375920071452437	-4.448364244091758	8.652670927793828e-6	8.153869897838654e-4	TRUE
ENSG00000102317	15.622383955996531	-0.2706494439070973	0.0622095958405018	-4.350606047996375	1.3576177588084756e-5	0.0012082798053395434	TRUE
ENSG00000119335	35.18895483907078	-0.18681201856335847	0.04325603560944953	-4.318750341571947	1.569151633913687e-5	0.00132304258817354	TRUE
ENSG00000115271	63.564756579046986	0.24910197958537564	0.05818175508035713	4.281444917591966	1.856836883582837e-5	0.0014873263437498523	TRUE
ENSG00000172322	28.246800450225873	0.5480980822153859	0.1288840648407133	4.252644288436865	2.1126100926577426e-5	0.0015383642583807742	TRUE
ENSG00000173559	46.90269655894386	0.18989897175146503	0.044576414289954236	4.260077325112728	2.043561925418659e-5	0.0015383642583807742	TRUE
ENSG00000136040	47.745888686063914	0.17038543130603767	0.040176712274871025	4.240900304144776	2.226250105672573e-5	0.001550631595342375	TRUE
