ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030901	midbrain development	5/48	93/18805	0.053763440860215055	21.062948028673834	9.81160755073354	3.841555835123129e-6	0.0034343963059301186	0.0026127569150938518	LDHA/KDM7A/CALM1/ACTB/YWHAQ	5
GO:0021762	substantia nigra development	4/48	46/18805	0.08695652173913043	34.06702898550724	11.358822183732764	5.634776547875502e-6	0.0034343963059301186	0.0026127569150938518	LDHA/CALM1/ACTB/YWHAQ	4
GO:0048857	neural nucleus development	4/48	69/18805	0.057971014492753624	22.711352657004834	9.139807290348372	2.8594193791309678e-5	0.008199163904214638	0.006237609256606448	LDHA/CALM1/ACTB/YWHAQ	4
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	3/48	24/18805	0.125	48.971354166666664	11.89576273469433	3.0421724438812174e-5	0.008199163904214638	0.006237609256606448	MT-CO2/MT-CO3/MT-CO1	3
GO:0009205	purine ribonucleoside triphosphate metabolic process	6/48	254/18805	0.023622047244094488	9.254429133858268	6.700146360655297	4.3671242521229074e-5	0.008199163904214638	0.006237609256606448	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:0009144	purine nucleoside triphosphate metabolic process	6/48	261/18805	0.022988505747126436	9.006226053639846	6.588862480016303	5.080436557118971e-5	0.008199163904214638	0.006237609256606448	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:0009199	ribonucleoside triphosphate metabolic process	6/48	261/18805	0.022988505747126436	9.006226053639846	6.588862480016303	5.080436557118971e-5	0.008199163904214638	0.006237609256606448	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:0140238	presynaptic endocytosis	4/48	81/18805	0.04938271604938271	19.34670781893004	8.370769603417937	5.380911503996481e-5	0.008199163904214638	0.006237609256606448	ACTG1/CALM1/ACTB/CANX	4
GO:0009141	nucleoside triphosphate metabolic process	6/48	277/18805	0.021660649819494584	8.48601083032491	6.349508593934971	7.064238873424677e-5	0.009568119096338536	0.007279057833318294	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:1902600	proton transmembrane transport	5/48	190/18805	0.02631578947368421	10.309758771929824	6.524507864079063	1.2023780484593193e-4	0.013583638618724614	0.01033391099097309	MT-CO2/MT-CO3/ATP5F1B/SLC25A3/MT-CO1	5
GO:0006163	purine nucleotide metabolic process	7/48	448/18805	0.015625	6.121419270833333	5.549994274359165	1.3153833614306163e-4	0.013583638618724614	0.01033391099097309	LDHA/GIMAP7/RAN/ATP5F1B/LDHB/TMSB4X/ENO1	7
GO:0035633	maintenance of blood-brain barrier	3/48	39/18805	0.07692307692307693	30.136217948717952	9.213903838330328	1.3371916605799456e-4	0.013583638618724614	0.01033391099097309	ACTG1/ITGB1/ACTB	3
GO:0009150	purine ribonucleotide metabolic process	6/48	350/18805	0.017142857142857144	6.7160714285714285	5.4605790090402015	2.5277083526929625e-4	0.023702126784097857	0.018031668491680166	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:0009259	ribonucleotide metabolic process	6/48	371/18805	0.016172506738544475	6.335916442048518	5.251099337107188	3.452449863323261e-4	0.026344267745057583	0.02004170794300396	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:0071481	cellular response to X-ray	2/48	11/18805	0.18181818181818182	71.23106060606061	11.786368335454567	3.457820212640864e-4	0.026344267745057583	0.02004170794300396	XRCC6/NUCKS1	2
GO:2001171	positive regulation of ATP biosynthetic process	2/48	11/18805	0.18181818181818182	71.23106060606061	11.786368335454567	3.457820212640864e-4	0.026344267745057583	0.02004170794300396	TMSB4X/ENO1	2
GO:0019693	ribose phosphate metabolic process	6/48	379/18805	0.0158311345646438	6.202176781002639	5.175510912998885	3.867472867508945e-4	0.02773205544407885	0.021097483568268616	LDHA/GIMAP7/RAN/ATP5F1B/TMSB4X/ENO1	6
GO:0000054	ribosomal subunit export from nucleus	2/48	14/18805	0.14285714285714285	55.9672619047619	10.407758975485661	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	RAN/NPM1	2
GO:0030810	positive regulation of nucleotide biosynthetic process	2/48	14/18805	0.14285714285714285	55.9672619047619	10.407758975485661	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	TMSB4X/ENO1	2
GO:0033750	ribosome localization	2/48	14/18805	0.14285714285714285	55.9672619047619	10.407758975485661	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	RAN/NPM1	2
GO:1900373	positive regulation of purine nucleotide biosynthetic process	2/48	14/18805	0.14285714285714285	55.9672619047619	10.407758975485661	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	TMSB4X/ENO1	2
GO:0006119	oxidative phosphorylation	4/48	151/18805	0.026490066225165563	10.3780353200883	5.8529983575427265	5.906588039342116e-4	0.032727867363445635	0.024898105562968446	MT-CO2/MT-CO3/ATP5F1B/MT-CO1	4
GO:0140694	membraneless organelle assembly	6/48	427/18805	0.01405152224824356	5.504976580796253	4.7634477112063784	7.246266923322549e-4	0.03840521469360951	0.029217213544380626	ACTG1/LCP1/G3BP2/ITGB1/RPS27/NPM1	6
GO:0010958	regulation of amino acid import across plasma membrane	2/48	17/18805	0.11764705882352941	46.09068627450981	9.408818284302354	8.46707421862367e-4	0.039974631091826834	0.03041116531401878	SEPTIN2/ITGB1	2
GO:1903789	regulation of amino acid transmembrane transport	2/48	17/18805	0.11764705882352941	46.09068627450981	9.408818284302354	8.46707421862367e-4	0.039974631091826834	0.03041116531401878	SEPTIN2/ITGB1	2
GO:0006089	lactate metabolic process	2/48	18/18805	0.1111111111111111	43.53009259259259	9.132042285990961	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	LDHA/LDHB	2
GO:0098712	L-glutamate import across plasma membrane	2/48	18/18805	0.1111111111111111	43.53009259259259	9.132042285990961	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	SEPTIN2/ITGB1	2
GO:0098974	postsynaptic actin cytoskeleton organization	2/48	18/18805	0.1111111111111111	43.53009259259259	9.132042285990961	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	ACTG1/ACTB	2
GO:2001169	regulation of ATP biosynthetic process	2/48	18/18805	0.1111111111111111	43.53009259259259	9.132042285990961	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	TMSB4X/ENO1	2
GO:0048488	synaptic vesicle endocytosis	3/48	77/18805	0.03896103896103896	15.263798701298702	6.344522095291412	9.999709411236913e-4	0.04063215257432599	0.030911382425613056	ACTG1/ACTB/CANX	3
GO:0022898	regulation of transmembrane transporter activity	4/48	176/18805	0.022727272727272728	8.903882575757576	5.3292499870396695	0.0010465052775915275	0.041151288173679745	0.03130632086784842	ITGB1/CALM1/ACTB/TMSB4X	4
GO:0098761	cellular response to interleukin-7	2/48	20/18805	0.1	39.177083333333336	8.641242536938613	0.001177137012992137	0.04484156308866922	0.034113740409410294	ATP5F1B/IL7R	2
GO:0034762	regulation of transmembrane transport	6/48	478/18805	0.012552301255230125	4.9176255230125525	4.388895390408529	0.0012979776108598547	0.04637605489725858	0.03528112289148553	SEPTIN2/ITGB1/CALM1/ACTB/TMSB4X/YWHAQ	6
GO:0098760	response to interleukin-7	2/48	21/18805	0.09523809523809523	37.31150793650794	8.42216882807467	0.001298930547257263	0.04637605489725858	0.03528112289148553	ATP5F1B/IL7R	2
GO:0006091	generation of precursor metabolites and energy	6/48	484/18805	0.012396694214876033	4.8566632231404965	4.348343665632197	0.0013833885008345203	0.04637605489725858	0.03528112289148553	MT-CO2/LDHA/MT-CO3/ATP5F1B/ENO1/MT-CO1	6
GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	2/48	22/18805	0.09090909090909091	35.615530303030305	8.217957694298494	0.0014265005859770707	0.04637605489725858	0.03528112289148553	ERAP2/HLA-E	2
GO:1900242	regulation of synaptic vesicle endocytosis	2/48	22/18805	0.09090909090909091	35.615530303030305	8.217957694298494	0.0014265005859770707	0.04637605489725858	0.03528112289148553	ACTG1/ACTB	2
GO:0036465	synaptic vesicle recycling	3/48	89/18805	0.033707865168539325	13.205758426966291	5.838715391648677	0.0015195332202628702	0.04637605489725858	0.03528112289148553	ACTG1/ACTB/CANX	3
GO:0030808	regulation of nucleotide biosynthetic process	2/48	23/18805	0.08695652173913043	34.06702898550724	8.026980846913178	0.0015598180892433158	0.04637605489725858	0.03528112289148553	TMSB4X/ENO1	2
GO:0099188	postsynaptic cytoskeleton organization	2/48	23/18805	0.08695652173913043	34.06702898550724	8.026980846913178	0.0015598180892433158	0.04637605489725858	0.03528112289148553	ACTG1/ACTB	2
GO:1900371	regulation of purine nucleotide biosynthetic process	2/48	23/18805	0.08695652173913043	34.06702898550724	8.026980846913178	0.0015598180892433158	0.04637605489725858	0.03528112289148553	TMSB4X/ENO1	2
GO:0002483	antigen processing and presentation of endogenous peptide antigen	2/48	24/18805	0.08333333333333333	32.64756944444444	7.847849696568878	0.001698854122407364	0.04707665023407592	0.035814108938492205	ERAP2/HLA-E	2
GO:0009060	aerobic respiration	4/48	201/18805	0.01990049751243781	7.796434494195688	4.900496117362892	0.001706616266352671	0.04707665023407592	0.035814108938492205	MT-CO2/MT-CO3/ATP5F1B/MT-CO1	4
GO:0019646	aerobic electron transport chain	3/48	93/18805	0.03225806451612903	12.637768817204302	5.691348062975605	0.0017239764829505319	0.04707665023407592	0.035814108938492205	MT-CO2/MT-CO3/MT-CO1	3
GO:0032409	regulation of transporter activity	4/48	202/18805	0.019801980198019802	7.7578382838283835	4.884904045415357	0.0017378582941209324	0.04707665023407592	0.035814108938492205	ITGB1/CALM1/ACTB/TMSB4X	4
GO:0046039	GTP metabolic process	2/48	25/18805	0.08	31.34166666666667	7.679371788504843	0.0018435798557499914	0.047815400939558286	0.036376122125772514	GIMAP7/RAN	2
GO:0150105	protein localization to cell-cell junction	2/48	25/18805	0.08	31.34166666666667	7.679371788504843	0.0018435798557499914	0.047815400939558286	0.036376122125772514	ACTG1/ACTB	2
GO:2001257	regulation of cation channel activity	3/48	97/18805	0.030927835051546393	12.116623711340205	5.552763065229699	0.001944857061378089	0.04939126578791438	0.03757497962881791	ITGB1/CALM1/TMSB4X	3
GO:0071346	cellular response to type II interferon	3/48	98/18805	0.030612244897959183	11.99298469387755	5.519384361749536	0.0020026995894701456	0.04982226121559403	0.037902864410809846	ACTG1/VIM/CALM1	3
