Method	Ontology	ID	Description	pvalue	p.adjust	qvalue	Count	GeneRatio	BgRatio
GO_CC_All	Gene Ontology Cellular Component	GO:0022626	cytosolic ribosome	5.2506769276999455e-24	1.5752030783099837e-21	1.238054349268198e-21	21	21/138	118/19880
GO_BP_Up	Gene Ontology Biological Process (Up)	GO:0002181	cytoplasmic translation	3.821856440684946e-24	5.434679858653994e-21	5.008643440687114e-21	21	21/91	169/18805
GO_BP_All	Gene Ontology Biological Process	GO:0002181	cytoplasmic translation	1.0600213099284769e-21	2.296006157305081e-18	2.135663986529584e-18	22	22/135	169/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0044391	ribosomal subunit	1.036852457320299e-19	1.5552786859804485e-17	1.2223944759986684e-17	21	21/138	186/19880
GO_MF_All	Gene Ontology Molecular Function	GO:0003735	structural constituent of ribosome	1.0304596216500431e-18	4.709200470940697e-16	4.2845426373870214e-16	20	20/133	175/18639
GO_CC_All	Gene Ontology Cellular Component	GO:0005840	ribosome	2.9701764917842155e-17	2.9701764917842155e-15	2.3344545058233837e-15	21	21/138	244/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0022625	cytosolic large ribosomal subunit	4.169556243679621e-15	3.1271671827597157e-13	2.4578436804848297e-13	12	12/138	57/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0022627	cytosolic small ribosomal subunit	1.0556597206643571e-11	6.333958323986142e-10	4.978268998501389e-10	9	9/138	42/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0030055	cell-substrate junction	2.229456551810145e-11	9.982643173712354e-10	7.846007266356379e-10	20	20/138	434/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0015934	large ribosomal subunit	2.3292834071995496e-11	9.982643173712354e-10	7.846007266356379e-10	12	12/138	114/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0005925	focal adhesion	1.1858159689858014e-10	4.4468098836967555e-9	3.4950365401686785e-9	19	19/138	424/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0015935	small ribosomal subunit	2.1695790657286805e-9	7.231930219095602e-8	5.684043400271632e-8	9	9/138	74/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0030667	secretory granule membrane	1.5706481353422655e-5	4.7119444060267964e-4	3.703422971754395e-4	11	11/138	322/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0031965	nuclear membrane	6.603058929236544e-5	0.0018008342534281483	0.0014153925360277377	10	10/138	312/19880
GO_BP_Up	Gene Ontology Biological Process (Up)	GO:0030593	neutrophil chemotaxis	3.2626168251797127e-6	0.002319720562702776	0.0021378726038677595	6	6/91	84/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0000803	sex chromosome	9.847665508443038e-5	0.0024619163771107595	0.0019349798893782814	4	4/138	35/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0005635	nuclear envelope	1.80526603436624e-4	0.004165998540845169	0.0032743286777169056	12	12/138	496/19880
GO_BP_Up	Gene Ontology Biological Process (Up)	GO:1990266	neutrophil migration	1.3270460339212594e-5	0.0062901982007867695	0.00579709583239287	6	6/91	107/18805
GO_MF_All	Gene Ontology Molecular Function	GO:0045296	cadherin binding	2.800414087551537e-5	0.006398946190055262	0.005821913497804512	11	11/133	334/18639
GO_BP_Up	Gene Ontology Biological Process (Up)	GO:0051438	regulation of ubiquitin-protein transferase activity	2.6847318715631187e-5	0.007965567722391605	0.0073411294798856695	4	4/91	36/18805
GO_BP_Up	Gene Ontology Biological Process (Up)	GO:0071621	granulocyte chemotaxis	2.8008325324865e-5	0.007965567722391605	0.0073411294798856695	6	6/91	122/18805
GO_MF_All	Gene Ontology Molecular Function	GO:0050786	RAGE receptor binding	5.620536231501175e-5	0.008561950192653456	0.007789866005063032	3	3/133	11/18639
GO_CC_All	Gene Ontology Cellular Component	GO:0035579	specific granule membrane	4.3195945066643005e-4	0.009256273942852071	0.0072751065375398745	5	5/138	91/19880
GO_MF_All	Gene Ontology Molecular Function	GO:0019843	rRNA binding	1.0052583506615783e-4	0.011485076656308532	0.01044939601345588	5	5/133	65/18639
GO_BP_Up	Gene Ontology Biological Process (Up)	GO:0031396	regulation of protein ubiquitination	5.4419592231026395e-5	0.012897443358753256	0.011886384618882083	7	7/91	201/18805
